,Condition,Drugs
271,Hyperuricemia,"[Rasburicase, Lesinurad, Allopurinol, Sulfinpyrazone, Probenecid]"
272,Hypercalcemia,"[Dexamethasone, Cinacalcet, Methylprednisolone, Salmon Calcitonin, Triamcinolone]"
273,Locally Advanced Breast Cancer (LABC),"[Docetaxel, Talazoparib, Ixabepilone, Anastrozole, Pertuzumab]"
274,Advanced Soft Tissue Sarcoma,"[Pazopanib, Dacarbazine, Doxorubicin, Vinblastine, Paclitaxel]"
275,Cervical Cancers,"[Pembrolizumab, Cisplatin, Ifosfamide, Mitomycin, Bleomycin]"
276,Peptic Ulcer Disease,"[Lansoprazole, Nizatidine, Ranitidine, Chlordiazepoxide, Clidinium]"
277,Mild Atopic dermatitis,"[Pimecrolimus, Desonide, Teniposide, Crisaborole, Fusidic acid]"
278,Erosive Esophagitis(EE),"[Omeprazole, Ranitidine, Dexlansoprazole, Pantoprazole, Esomeprazole]"
279,Erythroblastopenia,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone]"
280,"Recurrent, IV-B Cervical cancer","[Topotecan, Pemetrexed, Bevacizumab, Vinorelbine, Irinotecan]"
281,Coccidioidomycosis,"[Amphotericin B, Ketoconazole, Posaconazole, Voriconazole, Fluconazole]"
282,Leukemias,"[Betamethasone, Bupivacaine, Triamcinolone, Prednisone, Hydrocortisone]"
283,Impetigo,"[Cefuroxime, Dicloxacillin, Mupirocin, Ozenoxacin, Levofloxacin]"
284,Acute Lymphocytic Leukemia (ALL),"[Vincristine, Cytarabine, Daunorubicin, Mitoxantrone, Methotrexate]"
285,"Neutropenia, Febrile","[Filgrastim, Ciprofloxacin, Cefepime, Lipegfilgrastim, Aztreonam]"
286,Vulvovaginal Candidiasis,"[Tioconazole, Butoconazole, Sulfanilamide, Terconazole, Itraconazole]"
287,Hypertensive crisis,"[Labetalol, Captopril, Nitroprusside, Phentolamine, Hydralazine]"
288,Proteinuria,"[Diltiazem, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
289,Acute Coronary Syndromes (ACS),"[Bivalirudin, Enoxaparin, Eptifibatide, Clopidogrel, Acetylsalicylic acidCommonly known or available as Aspirin]"
290,Cardiovascular Mortality,"[Propranolol, Reteplase, Valsartan, Rivaroxaban, Acetylsalicylic acidCommonly known or available as Aspirin]"
291,Severe Ulcerative Colitis,"[Golimumab, Sulfasalazine, Ciclosporin, Adalimumab, Vedolizumab]"
292,Relapsing Remitting Multiple Sclerosis (RRMS),"[Interferon beta-1b, Natalizumab, Alemtuzumab, Interferon beta-1a, Mitoxantrone]"
293,Exercise-Induced Bronchoconstriction (EIB),"[Salmeterol, Salbutamol, Cromoglicic acid, Formoterol, Montelukast]"
294,Cystic Fibrosis (CF),"[Dornase alfa, Ivacaftor, Lumacaftor, Ibuprofen, Tezacaftor]"
295,Diabetes Mellitus (DM),"[Insulin Aspart, Insulin glargine, Insulin Degludec, Insulin Human, Insulin Lispro]"
296,Muscle pains,"[Baclofen, Trolamine, St. John's Wort, Methocarbamol, Camphor]"
297,Infective Endocarditis,"[Clindamycin, Cefazolin, Amoxicillin, Clarithromycin, Sulbactam]"
298,Refractory Multiple Myeloma,"[Panobinostat, Carmustine, Carfilzomib, Elotuzumab, Pomalidomide]"
299,Actinic Keratosis (AK),"[Methyl aminolevulinate, Ingenol mebutate, Fluorouracil, Salicylic acid, Diclofenac]"
300,Opioid Induced Constipation (OIC),"[Methylnaltrexone, Lubiprostone, Naloxegol, Naldemedine, Prucalopride]"
301,Psoriasis,"[Tacrolimus, Ciclosporin, Salicylic acid, Azathioprine, Bendazac]"
302,Peritonitis bacterial,"[Cefotaxime, Amikacin, Gentamicin, Metronidazole, Tobramycin]"
303,Tularemia,"[Streptomycin, Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
304,Pure Red Cell Aplasia,"[Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone]"
305,Fibromyalgia,"[Duloxetine, Mirtazapine, Pregabalin, Trazodone, Milnacipran]"
306,Headaches,"[Naproxen, Citric acid, Ibuprofen, Choline salicylate, Acetylsalicylic acidCommonly known or available as Aspirin]"
307,Dyslipidemia (Fredrickson Type Ⅱa),"[Cholestyramine, Bezafibrate, Fluvastatin, Fenofibrate, Colestipol]"
308,Paroxysmal Supraventricular Tachycardia,"[Diltiazem, Verapamil, Propafenone, Adenosine, Phenylephrine]"
309,Chlamydial Infections,"[Sulfadiazine, Minocycline, Levofloxacin, Tetracycline, Demeclocycline]"
310,Post-Herpetic Neuralgia (PHN),"[Nortriptyline, Capsaicin, Gabapentin, Methotrimeprazine, Triamcinolone]"
311,Acute Migraine,"[Naproxen, Sumatriptan, Diclofenac, Eletriptan, Ketorolac]"
312,Polymyositis,"[Betamethasone, Bupivacaine, Triamcinolone, Corticotropin, Methotrexate]"
313,Yaws,"[Procaine benzylpenicillin, Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
314,Bladder Cancers,"[Leucovorin, Ifosfamide, Vinblastine, Mitomycin, Methotrexate]"
315,"Pain, Chronic","[Nortriptyline, Amphetamine, Aminohippuric acid, Morphine, Desipramine]"
316,Pneumonia,"[Bacitracin, Cefoxitin, Streptomycin, Metronidazole, Cloxacillin]"
317,Type 1 Insulin-Dependent Diabetes Mellitus,"[Insulin Glulisine, Pramlintide, Insulin Detemir, Insulin Pork, Insulin Aspart]"
318,Multiple sclerosis exacerbation,"[Tetracosactide, Betamethasone, Prednisolone, Prednisone, Corticotropin]"
319,Chronic hepatitis C genotype 2,"[Sofosbuvir, Glecaprevir, Pibrentasvir, Daclatasvir, Velpatasvir]"
320,Chronic hepatitis C genotype 5,"[Ledipasvir, Sofosbuvir, Glecaprevir, Pibrentasvir, Velpatasvir]"
321,Autoimmune Hemolytic Anemia,"[Cyclophosphamide, Vinblastine, Alemtuzumab, Danazol, Triamcinolone]"
322,Bartonellosis,"[Clarithromycin, Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
323,Chronic heart failure with reduced ejection fraction (NYHA Class III),"[Metoprolol, Spironolactone, Carvedilol, Valsartan, Perindopril]"
324,Neuroblastomas,"[Etoposide, Vincristine, Cisplatin, Isotretinoin, Doxorubicin]"
325,Acute Bursitis,"[Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
326,Bursitis,"[Dexamethasone, Naproxen, Methylprednisolone, Betamethasone, Indometacin]"
327,Acute Otitis Media,"[Ciprofloxacin, Trimethoprim, Ofloxacin, Sulfisoxazole, Azithromycin]"
328,Social Anxiety Disorder (SAD),"[Gabapentin, Sertraline, Paroxetine, Venlafaxine, Citalopram]"
329,Moderate Ulcerative colitis,"[Golimumab, Sulfasalazine, Balsalazide, Adalimumab, Vedolizumab]"
330,Loeffler's syndrome,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone]"
331,Aspiration Pneumonitis,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone]"
332,Psoriatic arthritis aggravated,"[Golimumab, Certolizumab pegol, Apremilast, Adalimumab, Ustekinumab]"
333,Unstable Angina Pectoris,"[Nadroparin, Alirocumab, Heparin, Fondaparinux, Verapamil]"
334,Syphilis,"[Ceftriaxone, Minocycline, Tetracycline, Erythromycin, Benzylpenicillin]"
335,Tuberculous Meningitis,"[Betamethasone, Bupivacaine, Prednisolone, Prednisone, Hydrocortisone]"
336,Refractory Non-Hodgkin's lymphoma,"[Carmustine, Cisplatin, Oxaliplatin, Carboplatin, Fludarabine]"
337,Heart Transplant Rejection,"[Sirolimus, Tacrolimus, Everolimus, Antilymphocyte immunoglobulin (horse), Ciclosporin]"
338,Duodenal Ulcer,"[Omeprazole, Nizatidine, Ranitidine, Famotidine, Rabeprazole]"
339,Systemic Embolism,"[Dabigatran etexilate, Apixaban, Acenocoumarol, Rivaroxaban, Edoxaban]"
340,Delusional Parasitosis,"[Olanzapine, Quetiapine, Paliperidone, Risperidone, Pimozide]"
341,Q Fever,"[Hydroxychloroquine, Sulfamethoxazole, Doxycycline, Minocycline, Tetracycline]"
342,Severe Seborrheic Dermatitis,"[Dexamethasone, Methylprednisolone, Prednisone, Hydrocortisone]"
343,High Cholesterol,"[Atorvastatin, Pravastatin, Simvastatin, Lovastatin]"
344,Chronic heart failure with reduced ejection fraction (NYHA Class II),"[Metoprolol, Valsartan, Eplerenone, Perindopril]"
345,Chronic hepatitis C genotype 1a,"[Ombitasvir, Dasabuvir, Grazoprevir, Elbasvir]"
346,Chronic hepatitis C genotype 1b,"[Ombitasvir, Dasabuvir, Grazoprevir, Elbasvir]"
347,Polycythemia Vera (PV),"[Busulfan, Hydroxyurea, Mechlorethamine, Acetylsalicylic acidCommonly known or available as Aspirin]"
348,Chronic Idiopathic Urticaria,"[Cetirizine, Omalizumab, Levocetirizine, Desloratadine]"
349,Moderate vasomotor symptoms,"[Ethinylestradiol, Bazedoxifene, Levonorgestrel, Norgestimate]"
350,Sour stomach,"[Aluminum hydroxide, Magaldrate, Calcium Carbonate, Magnesium hydroxide]"
351,Prophylaxis of Rheumatic fever,"[Phenoxymethylpenicillin, Sulfadiazine, Erythromycin, Benzylpenicillin]"
352,Severe Asthma,"[Omalizumab, Epinephrine, Betamethasone, Prednisolone]"
353,Mycobacterium avium complex infection,"[Amikacin, Streptomycin, Ethambutol, Rifabutin]"
354,Late phase Tuberculosis,"[Rifampicin, Rifapentine, Isoniazid, Rifabutin]"
355,Diabetic Neuropathies,"[Gabapentin, Amitriptyline, Desipramine, Citalopram]"
356,Kaposi s Sarcoma (KS),"[Vincristine, Interferon alfa-2b, Vinblastine, Paclitaxel]"
357,Ovarian Cancer Metastatic,"[Docetaxel, Cisplatin, Hydroxyurea, Doxorubicin]"
358,Candidemia,"[Caspofungin, Micafungin, Anidulafungin, Fluconazole]"
359,Pertussis,"[Clarithromycin, Ampicillin, Erythromycin, Clostridium tetani toxoid antigen (formaldehyde inactivated)]"
360,Idiopathic eosinophilic pneumonias,"[Betamethasone, Prednisolone, Triamcinolone, Prednisone]"
361,Infection caused by staphylococci,"[Vancomycin, Dicloxacillin, Amikacin, Minocycline]"
362,Upset stomach,"[Fructose, Sodium bicarbonate, Magnesium carbonate, Magnesium hydroxide]"
363,Active Tuberculosis,"[Ethionamide, Rifapentine, Isoniazid, Pyrazinamide]"
364,Severe or persistent diarrhea,"[Diphenoxylate, Pancrelipase, Loperamide, Difenoxin]"
365,Endocarditis,"[Cefazolin, Ampicillin, Cloxacillin, Benzylpenicillin]"
366,Raynaud's Phenomenon,"[Nifedipine, Alprostadil, Prazosin, Captopril]"
367,Severe vasomotor symptoms,"[Ethinylestradiol, Bazedoxifene, Levonorgestrel, Norgestimate]"
368,Pyoderma Gangrenosum,"[Gentamicin, Tacrolimus, Etanercept, Adalimumab]"
369,Severe Bacterial Infections,"[Tazobactam, Amikacin, Piperacillin, Lincomycin]"
370,Tiredness,"[Caffeine, Amantadine, Pipradrol, Modafinil]"
371,Premature Ejaculation,"[Fluoxetine, Paroxetine, Benzocaine, Citalopram]"
372,"Severe, Chronic Pain","[Ziconotide, Fentanyl, Tapentadol, Oxycodone]"
373,Arthritis,"[Capsaicin, Naproxen, Camphor, Acetylsalicylic acidCommonly known or available as Aspirin]"
374,Backache,"[Capsaicin, Tenoxicam, Naproxen, Camphor]"
375,Clotting,"[Tinzaparin, Nadroparin, Heparin, Dalteparin]"
376,Symptomatic left ventricular ejection fraction ≤ 35% Chronic heart failure,"[Ivabradine, Valsartan, Fludeoxyglucose F-18, Quinapril]"
377,Bacterial Vaginosis (BV),"[Secnidazole, Clindamycin, Tinidazole, Metronidazole]"
378,Cytomegalovirus Retinitis,"[Foscarnet, Cidofovir, Valganciclovir, Ganciclovir]"
379,Atherosclerosis,"[Rosuvastatin, Cholestyramine, Niacin, Fluvastatin]"
380,Anaphylactic-type reactions,"[Diphenhydramine, Epinephrine, Carbinoxamine, Cyproheptadine]"
381,Adrenal cortical hypofunctions,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine]"
382,Moderate Acne vulgaris,"[Ethinylestradiol, Tazarotene, Minocycline, Norgestimate]"
383,Flu caused by Influenza,"[Zanamivir, Cefoxitin, Streptomycin, Pheniramine]"
384,Liver Transplant Rejection,"[Sirolimus, Tacrolimus, Everolimus, Ciclosporin]"
385,Central Nervous System Infections,"[Cefotaxime, Amikacin, Gentamicin, Ceftazidime]"
386,Advanced Prostate Cancer,"[Triptorelin, Histrelin, Degarelix, Leuprolide]"
387,Lichen simplex chronicus,"[Dexamethasone, Clioquinol, Betamethasone, Triamcinolone]"
388,Acute Tenosynovitis,"[Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
389,Empyema,"[Clindamycin, Bacitracin, Metronidazole, Benzylpenicillin]"
390,Lymphogranuloma Venereum,"[Doxycycline, Minocycline, Tetracycline, Erythromycin]"
391,Cholera,"[Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
392,Refractory immune thrombocytopenia,"[Romiplostim, Cyclophosphamide, Danazol, Eltrombopag]"
393,Hyperkalemia,"[Calcium Chloride, Salbutamol, Sodium bicarbonate, Tolevamer]"
394,Giardiasis,"[Nitazoxanide, Mebendazole, Tinidazole, Metronidazole]"
395,Endometritis,"[Clindamycin, Cefotaxime, Cefoxitin, Metronidazole]"
396,Onychomycosis,"[Tavaborole, Itraconazole, Terbinafine, Efinaconazole]"
397,Urothelial carcinoma ureter metastatic,"[Atezolizumab, Pembrolizumab, Pemetrexed, Durvalumab]"
398,Metastatic Hormone Refractory Prostate Cancer,"[Docetaxel, Estramustine, Nilutamide, Cyproterone acetate]"
399,Acute Myocardial Infarction (AMI),"[Reteplase, Alteplase, Clopidogrel, Lisinopril]"
400,"Acute, moderate Pain","[Floctafenine, Tapentadol, Ketorolac, Oxycodone]"
401,Pulmonary Arterial Hypertension (PAH),"[Tadalafil, Riociguat, Adenosine, Epoprostenol]"
402,Delirium,"[Droperidol, Olanzapine, Lorazepam, Haloperidol]"
403,Diabetic Macular Edema (DME),"[Fluocinolone acetonide, Dexamethasone, Ranibizumab, Aflibercept]"
404,Alopecia Areata (AA),"[Dexamethasone, Betamethasone, Bupivacaine, Triamcinolone]"
405,Hyperthyroidism,"[Iodide I-131, Propylthiouracil, Methimazole, Liothyronine]"
406,Chronic Idiopathic Constipation,"[Lubiprostone, Plecanatide, Linaclotide, Prucalopride]"
407,Locally Advanced Non-Small Cell Lung Cancer,"[Gemcitabine, Paclitaxel, Vinorelbine, Erlotinib]"
408,Advanced Bladder cancer,"[Cisplatin, Gemcitabine, Carboplatin, Paclitaxel]"
409,"Acute, severe Pain","[Sufentanil, Tapentadol, Ketorolac, Oxycodone]"
410,Acute attack of hereditary angioedema,"[Lanadelumab, Human C1-esterase inhibitor, Ecallantide, Conestat alfa]"
411,Wilms' tumor,"[Etoposide, Vincristine, Dactinomycin, Doxorubicin]"
412,Severe Aplastic Anemia (SAA),"[Tocilizumab, Axitinib, Antilymphocyte immunoglobulin (horse), Eltrombopag]"
413,Increased intraocular pressure,"[Mannitol, Netarsudil, CarbamoylcholineCommonly known or available as Carbachol, Carteolol]"
414,Acute Promyelocytic Leukemia (APL),"[Mercaptopurine, Cytarabine, Mitoxantrone, Methotrexate]"
415,Epididymitis,"[Ceftriaxone, Cefazolin, Ofloxacin, Levofloxacin]"
416,Ovarian Epithelial Cancer,"[Letrozole, Niraparib, Melphalan, Olaparib]"
417,Post-Operative Pain,"[Gabapentin, Chloral hydrate, Parecoxib, Diclofenac]"
418,Infection caused by Campylobacter fetus,"[Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
419,Ocular Irritation,"[Tetryzoline, Zinc, Hydrocortisone probutate, Glycerin]"
420,Prophylaxis of Candida Infections,"[Posaconazole, Micafungin, Flucytosine, Anidulafungin]"
421,Urticarias,"[Diphenhydramine, Epinephrine, Carbinoxamine, Clemastine]"
422,Dental Cavity,"[Nicotine, Triclosan, Stannous fluoride, Sodium fluorophosphate]"
423,"Tachycardia, Supraventricular","[Esmolol, Metoprolol, Amiodarone, Adenosine]"
424,"Tremor, Essential","[Propranolol, Primidone, Clonazepam, Topiramate]"
425,Keloid Scars,"[Dexamethasone, Betamethasone, Bupivacaine, Triamcinolone]"
426,Nongonococcal urethritis,"[Ofloxacin, Minocycline, Tinidazole, Erythromycin]"
427,Tardive Dyskinesia,"[Valbenazine, Tetrabenazine, Quetiapine, Clonazepam]"
428,Psittacosis,"[Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
429,"Conjunctivitis, Inclusion","[Sulfadiazine, Acetyl sulfisoxazole, Minocycline, Tetracycline]"
430,Diphtheria,"[Procaine benzylpenicillin, Erythromycin, Benzylpenicillin, Clostridium tetani toxoid antigen (formaldehyde inactivated)]"
431,Atrial Flutter,"[Ibutilide, Diltiazem, Verapamil, Sotalol]"
432,Arterial Hypotension,"[Epinephrine, Angiotensin II, Phenylephrine, Norepinephrine]"
433,Retinoblastoma,"[Etoposide, Vincristine, Cyclophosphamide, Carboplatin]"
434,Urethritis,"[Flavoxate, Levofloxacin, Metronidazole, Azithromycin]"
435,Otitis Externa,"[Clioquinol, Flumethasone, Ofloxacin, Neomycin]"
436,Brucellosis,"[Doxycycline, Minocycline, Tetracycline, Demeclocycline]"
437,Alzheimer's Disease (AD),"[Florbetaben (18F), Flutemetamol (18F), Florbetapir (18F), Trazodone]"
438,Hypokalaemia,"[Potassium chloride, Spironolactone, Potassium acetate, Amiloride]"
439,Thyrotoxicosis,"[Propranolol, Prednisone, Nadolol, Atenolol]"
440,Rhabdomyosarcomas,"[Vincristine, Cyclophosphamide, Dactinomycin, Irinotecan]"
441,"Refractory, metastatic Breast cancer","[Lapatinib, Fulvestrant, Eribulin, Palbociclib]"
442,Advanced Colorectal Cancer,"[Leucovorin, Levoleucovorin, Oxaliplatin, Raltitrexed]"
443,Moderate Hypertension,"[Olmesartan, Mecamylamine, Bisoprolol, Metolazone]"
444,Thrombotic events,"[Argatroban, Abciximab, Bivalirudin, Eptifibatide]"
445,Advanced Thymoma,"[Vincristine, Doxorubicin, Carboplatin, Paclitaxel]"
446,Hyperglycemias,"[Glycyrrhizic acid, Insulin glargine, Mifepristone, Insulin Lispro]"
447,Postherpetic Neuralgia,"[Clonidine, Lidocaine, Pregabalin, Desipramine]"
448,Throat Pain,"[Dyclonine, Benzocaine, Phenol, Choline salicylate]"
449,Advanced Ovarian Cancer,"[Rucaparib, Oxaliplatin, Gemcitabine, Paclitaxel]"
450,Healing,"[Omeprazole, Ranitidine, Sucralfate, Pantoprazole]"
451,Pulmonary Tuberculosis (TB),"[Betamethasone, Prednisolone, Ethambutol, Pyrazinamide]"
452,Chronic Hepatitis C Virus (HCV) Infection,"[Interferon alfa-2b, Peginterferon alfa-2b, Ribavirin, Daclatasvir]"
453,Necrobiosis lipoidica diabeticorum,"[Dexamethasone, Betamethasone, Bupivacaine, Triamcinolone]"
454,Severe Hypertension,"[Olmesartan, Mecamylamine, Hydralazine, Fenoldopam]"
455,Meningococcal Meningitis,"[Sulfadiazine, Acetyl sulfisoxazole, Minocycline, Benzylpenicillin]"
456,Hemorrhoids,"[Benzocaine, Cinchocaine, Pramocaine, Phenylephrine]"
457,Malaria caused by Plasmodium falciparum,"[Proguanil, Atovaquone, Quinine, Quinidine]"
458,Idiopathic Hypogonadotropic Hypogonadism,"[Fluoxymesterone, Chorionic Gonadotropin (Human), Methyltestosterone, Testosterone]"
459,Acute nonspecific tenosynovitis,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine]"
460,Paget's Disease,"[Alendronic acid, Risedronic acid, Zoledronic acid, Pamidronic acid]"
461,Open Angle Glaucoma (OAG),"[Epinephrine, CarbamoylcholineCommonly known or available as Carbachol, Metipranolol, Acetazolamide]"
462,Gestational Trophoblastic Disease,"[Etoposide, Vincristine, Dinoprostone, Dactinomycin]"
463,Anterior Uveitis (AU),"[Cyclopentolate, Difluprednate, Rimexolone, Neomycin]"
464,Cardiovascular Disease (CVD),"[Rosuvastatin, Fluvastatin, Atorvastatin, Acetylsalicylic acidCommonly known or available as Aspirin]"
465,Uncomplicated Gonorrhea,"[Ceftriaxone, Amoxicillin, Cefixime, Aztreonam]"
466,Bell's Palsy,"[Acyclovir, Tetracosactide, Prednisolone, Prednisone]"
467,Ventricular Tachycardia (VT),"[Propranolol, Bretylium, Flecainide, Procainamide]"
468,Regional Enteritis,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine]"
469,Coronary Heart Disease (CHD),"[Fluvastatin, Gemfibrozil, Lovastatin]"
470,Hairy Cell Leukemia (HCL),"[Pentostatin, Interferon alfa-2b, Cladribine]"
471,Metabolic Alkalosis,"[Ammonium chloride, Amiloride, Acetazolamide]"
472,Vasospastic Angina,"[Nifedipine, Ergometrine, Amlodipine]"
473,Meningitis,"[Cefuroxime, Metronidazole, Benzylpenicillin]"
474,Primary Central Nervous System Lymphoma (PCNSL),"[Cisplatin, Procarbazine, Temozolomide]"
475,Gastroesophageal variceal hemorrhage prophylaxis,"[Propranolol, Nitroglycerin, Nadolol]"
476,Idiopathic hyperprolactinemic disorder,"[Cabergoline, Bromocriptine, Quinagolide]"
477,Thyroid Cancers,"[Thyrotropin alfa, Sunitinib, Liothyronine]"
478,Dandruff,"[Ketoconazole, Pyrithione, Selenium Sulfide]"
479,Renal Stones,"[Magaldrate, Citric acid, Magnesium carbonate]"
480,Lichen Planus (LP),"[Dexamethasone, Betamethasone, Triamcinolone]"
481,Bacterial blepharitis,"[Framycetin, Gentamicin, Neomycin]"
482,Recurrent pulmonary embolism,"[Dabigatran etexilate, Apixaban, Rivaroxaban]"
483,Desmoid Tumors,"[Imatinib, Toremifene, Tamoxifen]"
484,Chronic Myeloid Leukemia (CML),"[Cyclophosphamide, Imatinib, Dasatinib]"
485,Pleural Mesotheliomas,"[Cisplatin, Pemetrexed, Raltitrexed]"
486,Rocky Mountain Spotted Fever,"[Doxycycline, Minocycline, Tetracycline]"
487,Myasthenia Gravis,"[Cyclophosphamide, Pyridostigmine, Neostigmine]"
488,Infertilities,"[Urofollitropin, Lutropin alfa, Leuprolide]"
489,Granuloma annulare lesions,"[Dexamethasone, Betamethasone, Triamcinolone]"
490,Diaper Rash,"[Kaolin, Zinc oxide, Zinc]"
491,Bacterial rhinosinusitis,"[Clindamycin, Gemifloxacin, Cefixime]"
492,Sezary Syndrome,"[Pentostatin, Isotretinoin, Doxorubicin]"
493,Nausea,"[Fructose, Trimethobenzamide, Doxylamine]"
494,Deep vein thrombosis recurrent,"[Dabigatran etexilate, Apixaban, Rivaroxaban]"
495,Calcium Nephrolithiasis,"[Hydrochlorothiazide, Chlorthalidone, Amiloride]"
496,Advanced Alibert-Bazin syndrome,"[Cyclophosphamide, Vinblastine, Methotrexate]"
497,Binge Eating Disorder (BED),"[Sertraline, Topiramate, Lisdexamfetamine]"
498,Prostate Cancer,"[Etoposide, Fluciclovine (18F), Capromab pendetide]"
499,Osteoporosis caused by glucocorticoid,"[Alendronic acid, Raloxifene, Teriparatide]"
500,Malignant Neoplasm of Pancreas,"[Ifosfamide, Fluorouracil, Irinotecan]"
501,Interstitial Cystitis,"[Heparin, Dimethyl sulfoxide, Ciclosporin]"
502,Complicated Urinary tract infection bacterial,"[Ceftriaxone, Gentamicin, Meropenem]"
503,Gestational Diabetes Mellitus (GDM),"[Insulin Aspart, Glyburide, Insulin Lispro]"
504,Neutropenias,"[Filgrastim, Lipegfilgrastim, Sargramostim]"
505,Disseminated Candidiasis,"[Voriconazole, Micafungin, Fluconazole]"
506,"Acute Rheumatic heart disease, unspecified","[Bupivacaine, Prednisolone, Triamcinolone]"
507,MRSA Infection,"[Rifampicin, Clindamycin, Sulfamethoxazole]"
508,Pelvic cellulitis,"[Clindamycin, Cefotaxime, Cefoxitin]"
509,Complex Partial Seizures,"[Ethotoin, Phenytoin, Valproic Acid]"
510,Skin Inflammation,"[St. John's Wort, Triamcinolone, Ulobetasol]"
511,Subacute Bursitis,"[Prednisolone, Prednisone, Hydrocortisone]"
512,Anemias,"[Methoxy polyethylene glycol-epoetin beta, Darbepoetin alfa, Erythropoietin]"
513,Parathyroid deficiency,"[CholecalciferolCommonly known or available as Vitamin D3, Ergocalciferol, Parathyroid hormone]"
514,Chronic heart failure with reduced ejection fraction (NYHA Class IV),"[Spironolactone, Carvedilol, Valsartan]"
515,Diffuse Lewy Body Disease,"[Galantamine, Rivastigmine, Donepezil]"
516,Refractory Acute Myeloid Leukemia,"[Clofarabine, Enasidenib, Gemtuzumab ozogamicin]"
517,HIV-1-infection,"[Emtricitabine, Tenofovir alafenamide, Tenofovir disoproxil]"
518,"Pneumonia, Pneumocystis Carinii","[Pentamidine, Prednisolone, Prednisone]"
519,Transient Ischaemic Attack (TIA),"[Acenocoumarol, Pravastatin, Acetylsalicylic acidCommonly known or available as Aspirin]"
520,Advanced Gastric Cancer,"[Leucovorin, Tegafur, Ramucirumab]"
521,"Shock, Septic","[Naloxone, Isoprenaline, Norepinephrine]"
522,Anginal Pain,"[Diltiazem, Atorvastatin, Amlodipine]"
523,Acute Lymphoblastic Leukaemia Recurrent,"[Vincristine, Clofarabine, Teniposide]"
524,Hepatic Encephalopathy,"[Rifaximin, Lactulose, Neomycin]"
525,WHO Group 1 Pulmonary arterial hypertension,"[Selexipag, Ambrisentan, Macitentan]"
526,Upper Respiratory Tract Infections,"[Doxycycline, Minocycline, Erythromycin]"
527,Keratoconjunctivitis,"[Cromoglicic acid, Gentamicin, Neomycin]"
528,Sarcoidosis,"[Chloroquine, Dexamethasone, Methylprednisolone]"
529,Toxoplasmosis,"[Sulfadiazine, Acetyl sulfisoxazole, Pyrimethamine]"
530,Metastatic Castration Resistant Prostate Cancer,"[Enzalutamide, Prednisone, Abiraterone]"
531,Inhaled anthrax caused by Bacillus anthracis,"[Ciprofloxacin, Raxibacumab, Obiltoxaximab]"
532,Deficiencies in enzymes of the urea cycle,"[L-Arginine, Phenylbutyric acid, Glycerol phenylbutyrate]"
533,Stage D2 Prostatic carcinoma,"[Flutamide, Buserelin, Bicalutamide]"
534,Prosthetic Joint Infection,"[Rifampicin, Ceftriaxone, Levofloxacin]"
535,Influenza A Virus Infection,"[Amantadine, Rimantadine, Oseltamivir]"
536,CMV Infections,"[Valaciclovir, Valganciclovir, Ganciclovir]"
537,Bacterial Sepsis,"[Ceftriaxone, Cefotaxime, Amikacin]"
538,Bone pain,"[Denosumab, Samarium (153Sm) lexidronam, Strontium chloride Sr-89]"
539,Atherosclerotic Cardiovascular Diseases,"[Rosuvastatin, Fluvastatin, Evolocumab]"
540,Cystitis,"[Hyoscyamine, Flavoxate, Norfloxacin]"
541,Allergic corneal marginal ulcers,"[Prednisolone, Prednisone, Hydrocortisone]"
542,Central Precocious Puberty (CPP),"[Histrelin, Leuprolide, Nafarelin]"
543,Diabetic Peripheral Neuropathic Pain (DPN),"[Tapentadol, Oxcarbazepine, Pregabalin]"
544,Myelodysplastic Syndrome,"[Antithymocyte immunoglobulin (rabbit), Antilymphocyte immunoglobulin (horse), Lenalidomide]"
545,Rickettsialpox,"[Doxycycline, Minocycline, Tetracycline]"
546,Glioblastomas,"[Carmustine, Bevacizumab, Irinotecan]"
547,Myoclonic seizures,"[Nitrazepam, Clonazepam, Levetiracetam]"
548,Itching,"[Zinc acetate, Fluconazole, Hydrocortisone probutate]"
549,Severe Anxiety,"[Perphenazine, Bromazepam, Amitriptyline]"
550,Shigella Infection,"[Cefixime, Doxycycline, Tetracycline]"
551,Patent Ductus Arteriosus (PDA),"[Alprostadil, Indometacin, Ibuprofen]"
552,Thrombocytopenias,"[Oprelvekin, Eltrombopag, Avatrombopag]"
